text.,sentiment
Kemarin saya bertemu teman lama di kafe.,negative
Rencanaku minggu depan adalah liburan ke pantai.,negative
Kemarin saya belanja bahan-bahan untuk masakan baru.,negative
Pekerjaan kantor sangat menumpuk minggu ini.,negative
Saya akan ke dokter gigi besok.,negative
Hari ini ada pertemuan penting di kantor.,negative
Rencana malam ini adalah nonton film bersama teman-teman.,negative
Besok saya akan bertemu supervisor untuk diskusi tugas.,positive
Saya harus menyelesaikan laporan akhir minggu ini.,positive
Proyek penelitian kami akan dimulai bulan depan.,positive
Diskusi ilmiah tentang politik global sangat menarik.,positive
Saya sedang mempersiapkan presentasi untuk konferensi.,positive
Belajar untuk ujian besok adalah prioritas saya sekarang.,positive
Materi kuliah terbaru tentang teknologi sangat menarik.,positive
Kuliah minggu depan dibatalkan oleh dosen.,positive
Rencana akhir pekan ini adalah pergi hiking bersama teman.,negative
Saya merencanakan perjalanan ke luar negeri tahun depan.,negative
Akhir pekan ini saya akan membersihkan rumah.,negative
Tadi saya menelepon keluarga untuk sekadar berbicara.,negative
Rencanaku adalah mendaftar ke gym bulan depan.,negative
Besok saya akan melakukan presentasi produk di kantor.,positive
Saya sedang menulis artikel untuk jurnal ilmiah.,positive
Saya akan menemui dosen pembimbing untuk diskusi proyek.,positive
Hari ini ada workshop tentang penelitian kuantitatif.,positive
Saya akan melakukan riset lapangan untuk tesis.,positive
Hari ini saya akan belajar tentang seni sastra klasik.,positive
Rencanaku adalah menghadiri seminar tentang keuangan pribadi.,positive
Saya akan bergabung dengan kelompok vokal di sekolah.,negative
Besok saya akan melakukan kunjungan ke museum sejarah.,negative
Rencanaku adalah mempelajari teknik fotografi makro.,positive
Saya akan menghadiri lokakarya tentang seni ukir kayu.,positive
Hari ini saya akan mencoba membuat karya seni dari limbah.,positive
Rencanaku adalah bergabung dengan grup debat mahasiswa.,positive
Saya akan mempelajari teknik memasak baru dari acara memasak TV.,negative
Besok saya akan belajar tentang seni drama di kelas teater.,positive
Rencanaku adalah mengunjungi festival kuliner akhir pekan ini.,negative
Saya akan bergabung dengan klub seni lukis di sekitar.,negative
Hari ini saya akan mengikuti pelatihan kepemimpinan di kantor.,positive
Rencanaku adalah berpartisipasi dalam kegiatan kebersihan lingkungan.,positive
Saya akan menghadiri seminar kewirausahaan di kota besok.,positive
Besok saya akan berlatih bermain musik di studio.,negative
Rencanaku adalah mempelajari strategi pemasaran digital.,positive
Saya akan belajar tentang seni kriya dalam workshop akhir pekan ini.,positive
Hari ini saya akan membaca artikel tentang perkembangan industri.,positive
Rencanaku adalah mengikuti kursus seni tari tradisional.,positive
Saya akan bergabung dengan grup diskusi buku di komunitas.,negative
Besok saya akan mengunjungi pameran fashion di pusat perbelanjaan.,negative
Rencanaku adalah belajar tentang seni lukis abstrak.,positive
Hari ini saya akan menghadiri seminar tentang inovasi teknologi.,positive
Saya berencana membuat perjalanan ke pegunungan bulan depan.,negative
Kemarin saya bertemu teman lama di kafe.,negative
Rencanaku minggu depan adalah liburan ke pantai.,negative
Kemarin saya belanja bahan-bahan untuk masakan baru.,negative
Pekerjaan kantor sangat menumpuk minggu ini.,positive
Saya akan ke dokter gigi besok.,positive
Hari ini ada pertemuan penting di kantor.,positive
Rencana malam ini adalah nonton film bersama teman-teman.,negative
Besok saya akan bertemu supervisor untuk diskusi tugas.,negative
Saya harus menyelesaikan laporan akhir minggu ini.,negative
Proyek penelitian kami akan dimulai bulan depan.,negative
Diskusi ilmiah tentang politik global sangat menarik.,negative
Saya sedang mempersiapkan presentasi untuk konferensi.,positive
Belajar untuk ujian besok adalah prioritas saya sekarang.,positive
Materi kuliah terbaru tentang teknologi sangat menarik.,positive
Rencanaku adalah memulai program latihan fisik.,negative
Rencana akhir pekan ini adalah pergi hiking bersama teman.,positive
Saya merencanakan perjalanan ke luar negeri tahun depan.,negative
Akhir pekan ini saya akan membersihkan rumah.,positive
Tadi saya menelepon keluarga untuk sekadar berbicara.,negative
Rencanaku adalah mendaftar ke gym bulan depan.,positive
Besok saya akan melakukan presentasi produk di kantor.,positive
Saya sedang menulis artikel untuk jurnal ilmiah.,negative
Saya akan menemui dosen pembimbing untuk diskusi proyek.,positive
Hari ini ada workshop tentang penelitian kuantitatif.,negative
Saya akan melakukan riset lapangan untuk tesis.,positive
Hari ini saya akan mengikuti pelatihan keterampilan komunikasi.,positive
Rencanaku adalah melakukan latihan meditasi sebelum tidur.,negative
Saya ingin menghadiri kelas yoga untuk kesehatan tubuh.,positive
Besok saya akan berkunjung ke rumah sakit untuk kunjungan rutin.,negative
Rencanaku adalah menonton konser musik di akhir pekan ini.,negative
Saya akan membuat jadwal belajar yang lebih teratur.,positive
Rencanaku adalah membaca buku tentang kepemimpinan.,positive
Hari ini saya akan mengunjungi pameran barang antik.,negative
Saya ingin mengikuti kursus fotografi untuk hobi baru.,negative
Rencanaku adalah memperdalam pemahaman tentang ekonomi.,positive
Besok saya akan mengunjungi pameran seni rupa di galeri.,negative
Rencanaku adalah mencoba berbagai olahraga baru.,negative
Hari ini saya akan belajar tentang keberlanjutan lingkungan.,positive
Rencanaku adalah bergabung dengan kelompok debat di kampus.,positive
Saya akan menghadiri seminar motivasi untuk meningkatkan diri.,positive
Besok saya akan belajar tentang teknologi blockchain.,positive
Rencanaku adalah mengikuti kursus bahasa Mandarin.,positive
Saya akan bergabung dengan kelompok penggemar film di kota.,negative
Hari ini saya akan membaca tentang sejarah politik global.,positive
Rencanaku adalah menghadiri konferensi kewirausahaan.,positive
Besok saya akan belajar teknik memasak kue baru.,negative
Saya akan bergabung dengan komunitas suporter sepak bola lokal.,negative
Rencanaku adalah mempelajari strategi investasi di pasar saham.,positive
Hari ini saya akan berdiskusi tentang budaya populer dengan teman.,negative
Rencanaku adalah mengikuti kursus keterampilan menulis.,positive